group,arm,correct,num_samples,micro_accuracy,macro_accuracy,late50_macro
all,base,62682,83696,74.89246797935385,69.31603868055983,70.87340927724065
all,posterior,62682,83696,74.89246797935385,69.31603868055983,70.87340927724065
all,responsibility,62789,83696,75.02031160389983,69.3879543124727,70.98690975839467
all,full,62789,83696,75.02031160389983,69.3879543124727,70.98690975839467
development,base,12894,20577,62.662195655343346,60.2793226838858,61.7790289021947
development,posterior,12894,20577,62.662195655343346,60.2793226838858,61.7790289021947
development,responsibility,12989,20577,63.123876172425526,60.45055385682165,62.00290893899419
development,full,12989,20577,63.123876172425526,60.45055385682165,62.00290893899419
evaluation,base,49788,63119,78.87957667263423,78.35275467723386,79.9677896522866
evaluation,posterior,49788,63119,78.87957667263423,78.35275467723386,79.9677896522866
evaluation,responsibility,49800,63119,78.89858838067777,78.32535476812373,79.9709105777952
evaluation,full,49800,63119,78.89858838067777,78.32535476812373,79.9709105777952
