dataset,split,num_samples,base,base_correct,posterior,posterior_correct,responsibility,responsibility_correct,full,full_correct,delta_posterior,delta_responsibility,delta_full,interaction
caltech101,evaluation,2465,94.19878296146045,2322,94.19878296146045,2322,94.07707910750507,2319,94.07707910750507,2319,0.0,-0.12170385395538119,-0.12170385395538119,0.0
dtd,development,1692,48.10874704491725,814,48.10874704491725,814,47.75413711583924,808,47.75413711583924,808,0.0,-0.35460992907800915,-0.35460992907800915,0.0
eurosat,development,8100,62.92592592592593,5097,62.92592592592593,5097,64.17283950617283,5198,64.17283950617283,5198,0.0,1.246913580246904,1.246913580246904,0.0
fgvc,development,3333,26.192619261926193,873,26.192619261926193,873,26.192619261926193,873,26.192619261926193,873,0.0,0.0,0.0,0.0
food101,evaluation,30300,86.94389438943895,26344,86.94389438943895,26344,86.95049504950495,26346,86.95049504950495,26346,0.0,0.006600660065998909,0.006600660065998909,0.0
oxford_flowers,evaluation,2463,75.07105156313439,1849,75.07105156313439,1849,74.98984977669508,1847,74.98984977669508,1847,0.0,-0.08120178643930842,-0.08120178643930842,0.0
oxford_pets,development,3669,91.9051512673753,3372,91.9051512673753,3372,91.9869174161897,3375,91.9869174161897,3375,0.0,0.08176614881439548,0.08176614881439548,0.0
stanford_cars,evaluation,8041,69.74256933217261,5608,69.74256933217261,5608,69.86693197363512,5618,69.86693197363512,5618,0.0,0.12436264146251119,0.12436264146251119,0.0
sun397,evaluation,19850,68.84130982367758,13665,68.84130982367758,13665,68.86649874055416,13670,68.86649874055416,13670,0.0,0.025188916876587086,0.025188916876587086,0.0
ucf101,development,3783,72.37642083002908,2738,72.37642083002908,2738,72.29711868887127,2735,72.29711868887127,2735,0.0,-0.07930214115781098,-0.07930214115781098,0.0
