dataset,base_wrm,u_wrm,delta_wrm,base_crm,u_crm,delta_crm,base_total_mass,u_total_mass,correct_allocation_gate,wrong_allocation_gate
caltech101,12.136013872288267,11.616196039596021,-0.5198178326922456,87.86398612771174,88.38380396040398,0.5198178326922402,2465.0087890625,2374.839111328125,,
dtd,69.60330543930036,65.62018182282871,-3.9831236164716444,30.396694560699643,34.379818177171295,3.9831236164716515,1691.990966796875,1389.8826904296875,,
eurosat,63.76882752703946,54.47077811320669,-9.298049413832771,36.23117247296054,45.52922188679331,9.298049413832771,8100.00439453125,5612.34033203125,,
fgvc,83.58760363952348,82.39597013427353,-1.1916335052499534,16.41239636047652,17.604029865726478,1.191633505249957,3333.009521484375,2867.881591796875,,
food101,21.82764237117307,21.040534837201353,-0.7871075339717173,78.17235762882693,78.95946516279865,0.7871075339717208,30300.0078125,29751.751953125,,
oxford_flowers,41.710254353581256,39.95369294725219,-1.7565614063290624,58.289745646418744,60.04630705274781,1.7565614063290624,2463.0068359375,2307.5419921875,,
oxford_pets,18.911647173729243,17.73116118436162,-1.1804859893676216,81.08835282627075,82.26883881563838,1.1804859893676252,3668.98876953125,3539.93115234375,,
stanford_cars,46.319216409436294,45.6988000341801,-0.6204163752561911,53.680783590563706,54.3011999658199,0.6204163752561911,8041.009765625,7759.9052734375,,
sun397,47.265685996787035,46.9026108301906,-0.36307516659643113,52.734314003212965,53.0973891698094,0.36307516659643113,19849.978515625,19487.3359375,,
ucf101,43.95681151286841,42.32357454409465,-1.6332369687737653,56.04318848713159,57.67642545590535,1.6332369687737653,3782.9951171875,3578.82177734375,,
