dataset,arm,window,start,end_exclusive,accuracy
caltech101,base,1,0,247,91.09311740890689
caltech101,base,2,247,494,94.33198380566802
caltech101,base,3,494,741,95.1417004048583
caltech101,base,4,741,988,94.33198380566802
caltech101,base,5,988,1235,93.52226720647774
caltech101,base,6,1235,1481,93.90243902439023
caltech101,base,7,1481,1727,93.90243902439023
caltech101,base,8,1727,1973,95.1219512195122
caltech101,base,9,1973,2219,95.1219512195122
caltech101,base,10,2219,2465,95.52845528455285
caltech101,posterior,1,0,247,91.09311740890689
caltech101,posterior,2,247,494,94.33198380566802
caltech101,posterior,3,494,741,95.1417004048583
caltech101,posterior,4,741,988,94.33198380566802
caltech101,posterior,5,988,1235,93.52226720647774
caltech101,posterior,6,1235,1481,93.90243902439023
caltech101,posterior,7,1481,1727,93.90243902439023
caltech101,posterior,8,1727,1973,95.1219512195122
caltech101,posterior,9,1973,2219,95.1219512195122
caltech101,posterior,10,2219,2465,95.52845528455285
caltech101,responsibility,1,0,247,91.09311740890689
caltech101,responsibility,2,247,494,94.33198380566802
caltech101,responsibility,3,494,741,94.73684210526315
caltech101,responsibility,4,741,988,94.33198380566802
caltech101,responsibility,5,988,1235,93.52226720647774
caltech101,responsibility,6,1235,1481,93.4959349593496
caltech101,responsibility,7,1481,1727,93.90243902439023
caltech101,responsibility,8,1727,1973,95.52845528455285
caltech101,responsibility,9,1973,2219,94.71544715447155
caltech101,responsibility,10,2219,2465,95.1219512195122
caltech101,full,1,0,247,91.09311740890689
caltech101,full,2,247,494,94.33198380566802
caltech101,full,3,494,741,94.73684210526315
caltech101,full,4,741,988,94.33198380566802
caltech101,full,5,988,1235,93.52226720647774
caltech101,full,6,1235,1481,93.4959349593496
caltech101,full,7,1481,1727,93.90243902439023
caltech101,full,8,1727,1973,95.52845528455285
caltech101,full,9,1973,2219,94.71544715447155
caltech101,full,10,2219,2465,95.1219512195122
dtd,base,1,0,170,41.17647058823529
dtd,base,2,170,340,39.411764705882355
dtd,base,3,340,509,52.071005917159766
dtd,base,4,509,678,47.337278106508876
dtd,base,5,678,847,44.97041420118343
dtd,base,6,847,1016,48.5207100591716
dtd,base,7,1016,1185,53.84615384615385
dtd,base,8,1185,1354,47.928994082840234
dtd,base,9,1354,1523,57.98816568047337
dtd,base,10,1523,1692,47.928994082840234
dtd,posterior,1,0,170,41.17647058823529
dtd,posterior,2,170,340,39.411764705882355
dtd,posterior,3,340,509,52.071005917159766
dtd,posterior,4,509,678,47.337278106508876
dtd,posterior,5,678,847,44.97041420118343
dtd,posterior,6,847,1016,48.5207100591716
dtd,posterior,7,1016,1185,53.84615384615385
dtd,posterior,8,1185,1354,47.928994082840234
dtd,posterior,9,1354,1523,57.98816568047337
dtd,posterior,10,1523,1692,47.928994082840234
dtd,responsibility,1,0,170,40.0
dtd,responsibility,2,170,340,38.23529411764706
dtd,responsibility,3,340,509,52.662721893491124
dtd,responsibility,4,509,678,47.337278106508876
dtd,responsibility,5,678,847,44.37869822485207
dtd,responsibility,6,847,1016,47.928994082840234
dtd,responsibility,7,1016,1185,54.437869822485204
dtd,responsibility,8,1185,1354,46.74556213017752
dtd,responsibility,9,1354,1523,58.57988165680473
dtd,responsibility,10,1523,1692,47.337278106508876
dtd,full,1,0,170,40.0
dtd,full,2,170,340,38.23529411764706
dtd,full,3,340,509,52.662721893491124
dtd,full,4,509,678,47.337278106508876
dtd,full,5,678,847,44.37869822485207
dtd,full,6,847,1016,47.928994082840234
dtd,full,7,1016,1185,54.437869822485204
dtd,full,8,1185,1354,46.74556213017752
dtd,full,9,1354,1523,58.57988165680473
dtd,full,10,1523,1692,47.337278106508876
eurosat,base,1,0,810,60.864197530864196
eurosat,base,2,810,1620,66.0493827160494
eurosat,base,3,1620,2430,64.5679012345679
eurosat,base,4,2430,3240,61.60493827160494
eurosat,base,5,3240,4050,62.34567901234568
eurosat,base,6,4050,4860,61.48148148148148
eurosat,base,7,4860,5670,63.827160493827165
eurosat,base,8,5670,6480,65.4320987654321
eurosat,base,9,6480,7290,61.72839506172839
eurosat,base,10,7290,8100,61.358024691358025
eurosat,posterior,1,0,810,60.864197530864196
eurosat,posterior,2,810,1620,66.0493827160494
eurosat,posterior,3,1620,2430,64.5679012345679
eurosat,posterior,4,2430,3240,61.60493827160494
eurosat,posterior,5,3240,4050,62.34567901234568
eurosat,posterior,6,4050,4860,61.48148148148148
eurosat,posterior,7,4860,5670,63.827160493827165
eurosat,posterior,8,5670,6480,65.4320987654321
eurosat,posterior,9,6480,7290,61.72839506172839
eurosat,posterior,10,7290,8100,61.358024691358025
eurosat,responsibility,1,0,810,62.22222222222222
eurosat,responsibility,2,810,1620,66.66666666666666
eurosat,responsibility,3,1620,2430,65.92592592592592
eurosat,responsibility,4,2430,3240,63.70370370370371
eurosat,responsibility,5,3240,4050,63.456790123456784
eurosat,responsibility,6,4050,4860,61.85185185185185
eurosat,responsibility,7,4860,5670,65.30864197530865
eurosat,responsibility,8,5670,6480,66.5432098765432
eurosat,responsibility,9,6480,7290,63.580246913580254
eurosat,responsibility,10,7290,8100,62.46913580246913
eurosat,full,1,0,810,62.22222222222222
eurosat,full,2,810,1620,66.66666666666666
eurosat,full,3,1620,2430,65.92592592592592
eurosat,full,4,2430,3240,63.70370370370371
eurosat,full,5,3240,4050,63.456790123456784
eurosat,full,6,4050,4860,61.85185185185185
eurosat,full,7,4860,5670,65.30864197530865
eurosat,full,8,5670,6480,66.5432098765432
eurosat,full,9,6480,7290,63.580246913580254
eurosat,full,10,7290,8100,62.46913580246913
fgvc,base,1,0,334,23.353293413173652
