dataset,candidate_id,mode,gamma,entropy_power,margin_lo,margin_hi,num_samples,changed_predictions,wrong_to_correct,correct_to_wrong,net
fgvc,0,direct_prior,0.01,1.0,0.0,0.05,384,1,0,0,0
fgvc,0,direct_prior,0.01,1.0,0.05,0.1,335,0,0,0,0
fgvc,0,direct_prior,0.01,1.0,0.1,0.2,515,0,0,0,0
fgvc,0,direct_prior,0.01,1.0,0.2,0.5,832,0,0,0,0
fgvc,0,direct_prior,0.01,1.0,0.5,,1267,0,0,0,0
fgvc,1,direct_prior,0.025,1.0,0.0,0.05,384,5,1,1,0
fgvc,1,direct_prior,0.025,1.0,0.05,0.1,335,0,0,0,0
fgvc,1,direct_prior,0.025,1.0,0.1,0.2,515,0,0,0,0
fgvc,1,direct_prior,0.025,1.0,0.2,0.5,832,0,0,0,0
fgvc,1,direct_prior,0.025,1.0,0.5,,1267,0,0,0,0
fgvc,2,direct_prior,0.05,1.0,0.0,0.05,384,6,1,1,0
fgvc,2,direct_prior,0.05,1.0,0.05,0.1,335,0,0,0,0
fgvc,2,direct_prior,0.05,1.0,0.1,0.2,515,0,0,0,0
fgvc,2,direct_prior,0.05,1.0,0.2,0.5,832,0,0,0,0
fgvc,2,direct_prior,0.05,1.0,0.5,,1267,0,0,0,0
fgvc,3,direct_prior,0.1,1.0,0.0,0.05,384,9,1,1,0
fgvc,3,direct_prior,0.1,1.0,0.05,0.1,335,0,0,0,0
fgvc,3,direct_prior,0.1,1.0,0.1,0.2,515,0,0,0,0
fgvc,3,direct_prior,0.1,1.0,0.2,0.5,832,0,0,0,0
fgvc,3,direct_prior,0.1,1.0,0.5,,1267,0,0,0,0
fgvc,4,direct_prior,0.2,1.0,0.0,0.05,384,16,1,3,-2
fgvc,4,direct_prior,0.2,1.0,0.05,0.1,335,0,0,0,0
fgvc,4,direct_prior,0.2,1.0,0.1,0.2,515,0,0,0,0
fgvc,4,direct_prior,0.2,1.0,0.2,0.5,832,0,0,0,0
fgvc,4,direct_prior,0.2,1.0,0.5,,1267,0,0,0,0
fgvc,5,direct_prior,0.3,1.0,0.0,0.05,384,27,3,4,-1
fgvc,5,direct_prior,0.3,1.0,0.05,0.1,335,0,0,0,0
fgvc,5,direct_prior,0.3,1.0,0.1,0.2,515,0,0,0,0
fgvc,5,direct_prior,0.3,1.0,0.2,0.5,832,0,0,0,0
fgvc,5,direct_prior,0.3,1.0,0.5,,1267,0,0,0,0
fgvc,6,entropy_gated_prior,0.025,1.0,0.0,0.05,384,3,1,1,0
fgvc,6,entropy_gated_prior,0.025,1.0,0.05,0.1,335,0,0,0,0
fgvc,6,entropy_gated_prior,0.025,1.0,0.1,0.2,515,0,0,0,0
fgvc,6,entropy_gated_prior,0.025,1.0,0.2,0.5,832,0,0,0,0
fgvc,6,entropy_gated_prior,0.025,1.0,0.5,,1267,0,0,0,0
fgvc,7,entropy_gated_prior,0.05,1.0,0.0,0.05,384,6,1,1,0
fgvc,7,entropy_gated_prior,0.05,1.0,0.05,0.1,335,0,0,0,0
fgvc,7,entropy_gated_prior,0.05,1.0,0.1,0.2,515,0,0,0,0
fgvc,7,entropy_gated_prior,0.05,1.0,0.2,0.5,832,0,0,0,0
fgvc,7,entropy_gated_prior,0.05,1.0,0.5,,1267,0,0,0,0
fgvc,8,entropy_gated_prior,0.1,1.0,0.0,0.05,384,7,1,1,0
fgvc,8,entropy_gated_prior,0.1,1.0,0.05,0.1,335,0,0,0,0
fgvc,8,entropy_gated_prior,0.1,1.0,0.1,0.2,515,0,0,0,0
fgvc,8,entropy_gated_prior,0.1,1.0,0.2,0.5,832,0,0,0,0
fgvc,8,entropy_gated_prior,0.1,1.0,0.5,,1267,0,0,0,0
fgvc,9,entropy_gated_prior,0.2,1.0,0.0,0.05,384,8,1,1,0
fgvc,9,entropy_gated_prior,0.2,1.0,0.05,0.1,335,0,0,0,0
fgvc,9,entropy_gated_prior,0.2,1.0,0.1,0.2,515,0,0,0,0
fgvc,9,entropy_gated_prior,0.2,1.0,0.2,0.5,832,0,0,0,0
fgvc,9,entropy_gated_prior,0.2,1.0,0.5,,1267,0,0,0,0
fgvc,10,entropy_gated_prior,0.3,1.0,0.0,0.05,384,12,1,1,0
fgvc,10,entropy_gated_prior,0.3,1.0,0.05,0.1,335,0,0,0,0
fgvc,10,entropy_gated_prior,0.3,1.0,0.1,0.2,515,0,0,0,0
fgvc,10,entropy_gated_prior,0.3,1.0,0.2,0.5,832,0,0,0,0
fgvc,10,entropy_gated_prior,0.3,1.0,0.5,,1267,0,0,0,0
dtd,0,direct_prior,0.01,1.0,0.0,0.05,45,0,0,0,0
dtd,0,direct_prior,0.01,1.0,0.05,0.1,34,0,0,0,0
dtd,0,direct_prior,0.01,1.0,0.1,0.2,79,0,0,0,0
dtd,0,direct_prior,0.01,1.0,0.2,0.5,241,0,0,0,0
dtd,0,direct_prior,0.01,1.0,0.5,,1293,0,0,0,0
dtd,1,direct_prior,0.025,1.0,0.0,0.05,45,0,0,0,0
dtd,1,direct_prior,0.025,1.0,0.05,0.1,34,0,0,0,0
dtd,1,direct_prior,0.025,1.0,0.1,0.2,79,0,0,0,0
dtd,1,direct_prior,0.025,1.0,0.2,0.5,241,0,0,0,0
dtd,1,direct_prior,0.025,1.0,0.5,,1293,0,0,0,0
dtd,2,direct_prior,0.05,1.0,0.0,0.05,45,0,0,0,0
dtd,2,direct_prior,0.05,1.0,0.05,0.1,34,0,0,0,0
dtd,2,direct_prior,0.05,1.0,0.1,0.2,79,0,0,0,0
dtd,2,direct_prior,0.05,1.0,0.2,0.5,241,0,0,0,0
dtd,2,direct_prior,0.05,1.0,0.5,,1293,0,0,0,0
dtd,3,direct_prior,0.1,1.0,0.0,0.05,45,2,1,1,0
dtd,3,direct_prior,0.1,1.0,0.05,0.1,34,1,0,0,0
dtd,3,direct_prior,0.1,1.0,0.1,0.2,79,0,0,0,0
dtd,3,direct_prior,0.1,1.0,0.2,0.5,241,0,0,0,0
dtd,3,direct_prior,0.1,1.0,0.5,,1293,0,0,0,0
dtd,4,direct_prior,0.2,1.0,0.0,0.05,45,7,3,1,2
dtd,4,direct_prior,0.2,1.0,0.05,0.1,34,2,1,0,1
dtd,4,direct_prior,0.2,1.0,0.1,0.2,79,0,0,0,0
dtd,4,direct_prior,0.2,1.0,0.2,0.5,241,0,0,0,0
dtd,4,direct_prior,0.2,1.0,0.5,,1293,0,0,0,0
dtd,5,direct_prior,0.3,1.0,0.0,0.05,45,8,4,1,3
dtd,5,direct_prior,0.3,1.0,0.05,0.1,34,3,1,0,1
dtd,5,direct_prior,0.3,1.0,0.1,0.2,79,3,0,0,0
dtd,5,direct_prior,0.3,1.0,0.2,0.5,241,1,0,0,0
dtd,5,direct_prior,0.3,1.0,0.5,,1293,0,0,0,0
dtd,6,entropy_gated_prior,0.025,1.0,0.0,0.05,45,0,0,0,0
dtd,6,entropy_gated_prior,0.025,1.0,0.05,0.1,34,0,0,0,0
dtd,6,entropy_gated_prior,0.025,1.0,0.1,0.2,79,0,0,0,0
dtd,6,entropy_gated_prior,0.025,1.0,0.2,0.5,241,0,0,0,0
dtd,6,entropy_gated_prior,0.025,1.0,0.5,,1293,0,0,0,0
dtd,7,entropy_gated_prior,0.05,1.0,0.0,0.05,45,0,0,0,0
dtd,7,entropy_gated_prior,0.05,1.0,0.05,0.1,34,0,0,0,0
dtd,7,entropy_gated_prior,0.05,1.0,0.1,0.2,79,0,0,0,0
dtd,7,entropy_gated_prior,0.05,1.0,0.2,0.5,241,0,0,0,0
dtd,7,entropy_gated_prior,0.05,1.0,0.5,,1293,0,0,0,0
dtd,8,entropy_gated_prior,0.1,1.0,0.0,0.05,45,1,1,0,1
dtd,8,entropy_gated_prior,0.1,1.0,0.05,0.1,34,1,0,0,0
dtd,8,entropy_gated_prior,0.1,1.0,0.1,0.2,79,0,0,0,0
dtd,8,entropy_gated_prior,0.1,1.0,0.2,0.5,241,0,0,0,0
dtd,8,entropy_gated_prior,0.1,1.0,0.5,,1293,0,0,0,0
dtd,9,entropy_gated_prior,0.2,1.0,0.0,0.05,45,4,1,1,0
dtd,9,entropy_gated_prior,0.2,1.0,0.05,0.1,34,2,1,0,1
dtd,9,entropy_gated_prior,0.2,1.0,0.1,0.2,79,0,0,0,0
dtd,9,entropy_gated_prior,0.2,1.0,0.2,0.5,241,0,0,0,0
dtd,9,entropy_gated_prior,0.2,1.0,0.5,,1293,0,0,0,0
dtd,10,entropy_gated_prior,0.3,1.0,0.0,0.05,45,6,3,1,2
dtd,10,entropy_gated_prior,0.3,1.0,0.05,0.1,34,2,1,0,1
dtd,10,entropy_gated_prior,0.3,1.0,0.1,0.2,79,0,0,0,0
dtd,10,entropy_gated_prior,0.3,1.0,0.2,0.5,241,0,0,0,0
dtd,10,entropy_gated_prior,0.3,1.0,0.5,,1293,0,0,0,0
eurosat,0,direct_prior,0.01,1.0,0.0,0.05,98,21,9,5,4
eurosat,0,direct_prior,0.01,1.0,0.05,0.1,95,13,2,8,-6
eurosat,0,direct_prior,0.01,1.0,0.1,0.2,165,5,1,1,0
eurosat,0,direct_prior,0.01,1.0,0.2,0.5,527,0,0,0,0
eurosat,0,direct_prior,0.01,1.0,0.5,,7215,0,0,0,0
eurosat,1,direct_prior,0.025,1.0,0.0,0.05,98,24,10,6,4
eurosat,1,direct_prior,0.025,1.0,0.05,0.1,95,26,5,12,-7
eurosat,1,direct_prior,0.025,1.0,0.1,0.2,165,20,5,4,1
eurosat,1,direct_prior,0.025,1.0,0.2,0.5,527,11,2,5,-3
eurosat,1,direct_prior,0.025,1.0,0.5,,7215,0,0,0,0
eurosat,2,direct_prior,0.05,1.0,0.0,0.05,98,25,11,6,5
eurosat,2,direct_prior,0.05,1.0,0.05,0.1,95,28,6,12,-6
eurosat,2,direct_prior,0.05,1.0,0.1,0.2,165,34,9,9,0
eurosat,2,direct_prior,0.05,1.0,0.2,0.5,527,56,15,25,-10
eurosat,2,direct_prior,0.05,1.0,0.5,,7215,10,2,4,-2
eurosat,3,direct_prior,0.1,1.0,0.0,0.05,98,28,12,6,6
eurosat,3,direct_prior,0.1,1.0,0.05,0.1,95,30,7,12,-5
eurosat,3,direct_prior,0.1,1.0,0.1,0.2,165,46,11,13,-2
eurosat,3,direct_prior,0.1,1.0,0.2,0.5,527,126,38,46,-8
eurosat,3,direct_prior,0.1,1.0,0.5,,7215,85,15,40,-25
eurosat,4,direct_prior,0.2,1.0,0.0,0.05,98,30,12,6,6
eurosat,4,direct_prior,0.2,1.0,0.05,0.1,95,32,8,13,-5
eurosat,4,direct_prior,0.2,1.0,0.1,0.2,165,51,13,14,-1
eurosat,4,direct_prior,0.2,1.0,0.2,0.5,527,158,43,60,-17
eurosat,4,direct_prior,0.2,1.0,0.5,,7215,304,52,153,-101
eurosat,5,direct_prior,0.3,1.0,0.0,0.05,98,32,11,6,5
eurosat,5,direct_prior,0.3,1.0,0.05,0.1,95,37,8,13,-5
