dataset,arm,window,start,end_exclusive,accuracy
dtd,base,1,0,4,25.0
dtd,base,2,4,8,100.0
dtd,base,3,8,11,33.33333333333333
dtd,base,4,11,14,33.33333333333333
dtd,base,5,14,17,0.0
dtd,base,6,17,20,33.33333333333333
dtd,base,7,20,23,33.33333333333333
dtd,base,8,23,26,0.0
dtd,base,9,26,29,0.0
dtd,base,10,29,32,33.33333333333333
dtd,posterior,1,0,4,25.0
dtd,posterior,2,4,8,100.0
dtd,posterior,3,8,11,33.33333333333333
dtd,posterior,4,11,14,33.33333333333333
dtd,posterior,5,14,17,0.0
dtd,posterior,6,17,20,33.33333333333333
dtd,posterior,7,20,23,33.33333333333333
dtd,posterior,8,23,26,0.0
dtd,posterior,9,26,29,0.0
dtd,posterior,10,29,32,33.33333333333333
dtd,responsibility,1,0,4,25.0
dtd,responsibility,2,4,8,100.0
dtd,responsibility,3,8,11,33.33333333333333
dtd,responsibility,4,11,14,33.33333333333333
dtd,responsibility,5,14,17,0.0
dtd,responsibility,6,17,20,33.33333333333333
dtd,responsibility,7,20,23,33.33333333333333
dtd,responsibility,8,23,26,0.0
dtd,responsibility,9,26,29,0.0
dtd,responsibility,10,29,32,33.33333333333333
dtd,full,1,0,4,25.0
dtd,full,2,4,8,100.0
dtd,full,3,8,11,33.33333333333333
dtd,full,4,11,14,33.33333333333333
dtd,full,5,14,17,0.0
dtd,full,6,17,20,33.33333333333333
dtd,full,7,20,23,33.33333333333333
dtd,full,8,23,26,0.0
dtd,full,9,26,29,0.0
dtd,full,10,29,32,33.33333333333333
