dataset,candidate_id,mode,gamma,entropy_power,margin_lo,margin_hi,num_samples,changed_predictions,wrong_to_correct,correct_to_wrong,net
dtd,0,direct_prior,0.01,1.0,0.0,0.05,3,0,0,0,0
dtd,0,direct_prior,0.01,1.0,0.05,0.1,0,0,0,0,0
dtd,0,direct_prior,0.01,1.0,0.1,0.2,3,0,0,0,0
dtd,0,direct_prior,0.01,1.0,0.2,0.5,6,0,0,0,0
dtd,0,direct_prior,0.01,1.0,0.5,,20,0,0,0,0
dtd,1,direct_prior,0.025,1.0,0.0,0.05,3,0,0,0,0
dtd,1,direct_prior,0.025,1.0,0.05,0.1,0,0,0,0,0
dtd,1,direct_prior,0.025,1.0,0.1,0.2,3,0,0,0,0
dtd,1,direct_prior,0.025,1.0,0.2,0.5,6,0,0,0,0
dtd,1,direct_prior,0.025,1.0,0.5,,20,0,0,0,0
dtd,2,direct_prior,0.05,1.0,0.0,0.05,3,0,0,0,0
dtd,2,direct_prior,0.05,1.0,0.05,0.1,0,0,0,0,0
dtd,2,direct_prior,0.05,1.0,0.1,0.2,3,0,0,0,0
dtd,2,direct_prior,0.05,1.0,0.2,0.5,6,0,0,0,0
dtd,2,direct_prior,0.05,1.0,0.5,,20,0,0,0,0
dtd,3,direct_prior,0.1,1.0,0.0,0.05,3,0,0,0,0
dtd,3,direct_prior,0.1,1.0,0.05,0.1,0,0,0,0,0
dtd,3,direct_prior,0.1,1.0,0.1,0.2,3,0,0,0,0
dtd,3,direct_prior,0.1,1.0,0.2,0.5,6,0,0,0,0
dtd,3,direct_prior,0.1,1.0,0.5,,20,0,0,0,0
dtd,4,direct_prior,0.2,1.0,0.0,0.05,3,0,0,0,0
dtd,4,direct_prior,0.2,1.0,0.05,0.1,0,0,0,0,0
dtd,4,direct_prior,0.2,1.0,0.1,0.2,3,0,0,0,0
dtd,4,direct_prior,0.2,1.0,0.2,0.5,6,0,0,0,0
dtd,4,direct_prior,0.2,1.0,0.5,,20,0,0,0,0
dtd,5,direct_prior,0.3,1.0,0.0,0.05,3,0,0,0,0
dtd,5,direct_prior,0.3,1.0,0.05,0.1,0,0,0,0,0
dtd,5,direct_prior,0.3,1.0,0.1,0.2,3,0,0,0,0
dtd,5,direct_prior,0.3,1.0,0.2,0.5,6,0,0,0,0
dtd,5,direct_prior,0.3,1.0,0.5,,20,0,0,0,0
dtd,6,entropy_gated_prior,0.025,1.0,0.0,0.05,3,0,0,0,0
dtd,6,entropy_gated_prior,0.025,1.0,0.05,0.1,0,0,0,0,0
dtd,6,entropy_gated_prior,0.025,1.0,0.1,0.2,3,0,0,0,0
dtd,6,entropy_gated_prior,0.025,1.0,0.2,0.5,6,0,0,0,0
dtd,6,entropy_gated_prior,0.025,1.0,0.5,,20,0,0,0,0
dtd,7,entropy_gated_prior,0.05,1.0,0.0,0.05,3,0,0,0,0
dtd,7,entropy_gated_prior,0.05,1.0,0.05,0.1,0,0,0,0,0
dtd,7,entropy_gated_prior,0.05,1.0,0.1,0.2,3,0,0,0,0
dtd,7,entropy_gated_prior,0.05,1.0,0.2,0.5,6,0,0,0,0
dtd,7,entropy_gated_prior,0.05,1.0,0.5,,20,0,0,0,0
dtd,8,entropy_gated_prior,0.1,1.0,0.0,0.05,3,0,0,0,0
dtd,8,entropy_gated_prior,0.1,1.0,0.05,0.1,0,0,0,0,0
dtd,8,entropy_gated_prior,0.1,1.0,0.1,0.2,3,0,0,0,0
dtd,8,entropy_gated_prior,0.1,1.0,0.2,0.5,6,0,0,0,0
dtd,8,entropy_gated_prior,0.1,1.0,0.5,,20,0,0,0,0
dtd,9,entropy_gated_prior,0.2,1.0,0.0,0.05,3,0,0,0,0
dtd,9,entropy_gated_prior,0.2,1.0,0.05,0.1,0,0,0,0,0
dtd,9,entropy_gated_prior,0.2,1.0,0.1,0.2,3,0,0,0,0
dtd,9,entropy_gated_prior,0.2,1.0,0.2,0.5,6,0,0,0,0
dtd,9,entropy_gated_prior,0.2,1.0,0.5,,20,0,0,0,0
dtd,10,entropy_gated_prior,0.3,1.0,0.0,0.05,3,0,0,0,0
dtd,10,entropy_gated_prior,0.3,1.0,0.05,0.1,0,0,0,0,0
dtd,10,entropy_gated_prior,0.3,1.0,0.1,0.2,3,0,0,0,0
dtd,10,entropy_gated_prior,0.3,1.0,0.2,0.5,6,0,0,0,0
dtd,10,entropy_gated_prior,0.3,1.0,0.5,,20,0,0,0,0
