dataset,display_name,num_samples,correct,accuracy,last50_correct,last50_accuracy,prediction_sha256,state_sha256
fgvc,Aircraft,3333,908,27.242724272427242,483,28.974205158968207,4e9f01e3004079de68a3073249836501dafe4ab67ab91bf219a9bd884e097805,2950fb1ca4da6b1a0e96856d6f9f92ce68c391dc9bdcd3d97ff0742fab8a2fb6
caltech101,Caltech101,2465,2326,94.36105476673428,1173,95.1338199513382,ea09db6f5132e5956c3f7fc8f5af834232733852b5d6b510eeae310cc7a1d926,5591f10d5f8702fbe0b4c2ef5b443dd93e29c353e2270b277cd5e75c21d76422
stanford_cars,Cars,8041,5605,69.70526053973387,2870,71.37527978114896,6cb6651e9aba14ee521d6f7be652c543f83f1c28eff8f95819e2204b1988adab,05ac60ed6b255e6790fcfca14583571dc253b1f216305f9916001c5704df5f73
dtd,DTD,1692,863,51.004728132387704,459,54.255319148936174,26a081d925c5d7eda3163e109fee8cff317e6f4f2d03780e6fe6f299323d141b,c48ba5027f902d6ccb71f1e93e2afdf93b07faf00df287442cae13bbcfe751f3
eurosat,EuroSAT,8100,5490,67.77777777777777,2776,68.54320987654322,358d88e12470f196baa73eed8297252be65d1d5beeef9e0a07ecdc91c3edf2a6,356cd8209d4184d3c285e45760e3e518426dce8ff607f785240d10af4e77a293
oxford_flowers,Flower102,2463,1895,76.93869265123833,994,80.68181818181819,2d6c478e850efed391e82e2ce4b01d90b2ee4a08a129982e7b168cc5f55a65d0,7e6fc1bc73b5952745b828aae2e2d7c774534d58637fc3b1e7df403a42137861
food101,Food101,30300,26373,87.03960396039604,13212,87.20792079207921,581a0cb66ebc6c0c8f32a1891cc2626f75c6911f3edecc762f5920d50466f89a,753d56dd13fc8dc20026cc21cbda09bc3dcc9ed3f4d568dd10deb74e04c9f213
oxford_pets,Pets,3669,3409,92.91360043608613,1724,93.95095367847412,d006a346a425e48e6ea4db17ecca3392f115b328386fdeb6602b6baf9d7a74ea,e3086263072125668ec13c2b9dc28579e75d438fd5e9fbabe03f4e657da1ace4
sun397,SUN397,19850,13681,68.92191435768262,6951,70.0352644836272,b0bfb5f131ac75464692c2214c85a7fa77897fef8df4b716846ce82d797a512b,605d91afdb02fdccacbd236de91b6008fb92d26660ab5829e90b41cc25b389e9
ucf101,UCF101,3783,2801,74.04176579434312,1452,76.74418604651163,fed3fb51a46b8e592a9cb2c5ec3ed754f2d078be35c29fcdd7f019c8f0a28e94,b6b130611bec820aef819cd2f68a69051d43fbf7273f24b4e85b3e1853017d31
