heldout_dataset,selected_candidate_from_other9,selected_strength,base_acc,candidate_acc,delta_pp,delta_correct,corrected,regressed
fgvc,P4,0.075,27.242724272427242,27.122712271227122,-0.12001200120012001,-4,2,6
caltech101,P1,0.0075,94.36105476673428,94.36105476673428,0.0,0,0,0
stanford_cars,P1,0.0075,69.70526053973387,69.70526053973387,0.0,0,0,0
dtd,P1,0.0075,51.004728132387704,51.004728132387704,0.0,0,0,0
eurosat,P5,0.15,67.77777777777777,67.70370370370371,-0.07407407407406197,-6,77,83
oxford_flowers,P1,0.0075,76.93869265123833,76.93869265123833,0.0,0,0,0
food101,P1,0.0075,87.03960396039604,87.03630363036304,-0.0033003300329994545,-1,0,1
oxford_pets,P1,0.0075,92.91360043608613,92.91360043608613,0.0,0,0,0
sun397,P1,0.0075,68.92191435768262,68.92191435768262,0.0,0,0,0
ucf101,P1,0.0075,74.04176579434312,74.04176579434312,0.0,0,0,0
