dataset,display_name,candidate,delta_correct,delta_pp,delta_last50_pp
fgvc,Aircraft,U1_t0.15_p0.25,-2,-0.06000600060005823,0.0
caltech101,Caltech101,U2_t0.3_p2_mix05,1,0.04056795131845092,-0.0811030008110265
stanford_cars,Cars,U1_t0.6_p1,-4,-0.04974505658501016,0.0
dtd,DTD,U1_t0.6_p0.25,-1,-0.05910165484633012,0.11820330969266735
eurosat,EuroSAT,U2_t0.15_p2_mix05,727,8.975308641975317,9.407407407407405
oxford_flowers,Flower102,U1_t0.6_p2,-1,-0.040600893219647105,-0.24350649350650144
food101,Food101,U2_t0.15_p2_mix08clip,6,0.01980198019802515,0.07920792079208638
oxford_pets,Pets,U1_t0.6_p0.5,1,0.027255382938122352,0.0544959128065301
sun397,SUN397,U2_t0.3_p2_mix08clip,13,0.06549118387908948,-0.0403022670025166
ucf101,UCF101,U1_t0.6_p0.25,6,0.15860428231562196,0.1585623678646897
