dataset,candidate_id,base_accuracy,accuracy,delta_pp,base_last50_accuracy,last50_accuracy,delta_last50_pp,delta_correct,delta_last50_correct,mean_gate,median_gate,gate_p10,gate_p25,gate_p75,gate_p90,mean_effective_update_mass,prediction_sha256,state_sha256,health_status
dtd,U1_t0.075_p0.25,35.9375,35.9375,0.0,40.625,40.625,0.0,0,0,0.7421203255653381,0.7350523471832275,0.6067329287528992,0.6624452918767929,0.8081772029399872,0.9072960019111636,0.7421308159828186,995d3779aae38d6c1955f6b7eb85b3b761a3bb276b4579b19c38a50663ae4024,20aa513f2cd4206477fedb7aa043549422b81d46f23fbcecf12fbf449734580c,healthy
dtd,U1_t0.075_p0.5,35.9375,35.9375,0.0,40.625,40.625,0.0,0,0,0.5767426490783691,0.5559881925582886,0.35564392507076265,0.4283621236681938,0.6934333741664886,0.8971087992191317,0.576751708984375,09c820c16776fd9cd2590e5f12a08dad5477d6eea9e7207da4f44a8f940a6bc0,9c440fe6e7a4beddbb276ba3b5d13a35bae68a0d112102fb0bde686f41352baf,healthy
dtd,U1_t0.075_p1,35.9375,35.9375,0.0,40.625,40.625,0.0,0,0,0.35077500343322754,0.27551060914993286,0.10829139277338982,0.15682214871048927,0.4001263976097107,0.8498825609683994,0.35078006982803345,39fe6b9cc82568f1744e79d7f73d7e3597ae8c16822f8bd7cb7043cfa84f4b82,68ad157435fca036c8d761bc8b0f391f71b23b4490c0ade434069f9b7ccc24a8,healthy
dtd,U1_t0.075_p2,35.9375,35.9375,0.0,40.625,40.625,0.0,0,0,0.12105834484100342,0.0468016192317009,0.004838036140426993,0.021638887003064156,0.10620945692062378,0.338798570632935,0.12106015533208847,15c135789dd80c1fc9ebeb851b03f9927ada50c823dd7a2d73e2e2cccc3c17f1,9d3630846dfb6dd83356a6ba41d050c25de93506184393ec36efad17fa11a94a,healthy
dtd,U1_t0.15_p0.25,35.9375,35.9375,0.0,40.625,40.625,0.0,0,0,0.8182663321495056,0.8158743381500244,0.7155538082122803,0.7591666728258133,0.8617091327905655,0.9266934037208557,0.8182774186134338,995d3779aae38d6c1955f6b7eb85b3b761a3bb276b4579b19c38a50663ae4024,a3ffe7d332d7148e79b84baf599b84074ed706a54b64112c974758039b86b8a0,healthy
dtd,U1_t0.15_p0.5,35.9375,35.9375,0.0,40.625,40.625,0.0,0,0,0.6828526854515076,0.675035834312439,0.5079678416252137,0.5723187029361725,0.763794481754303,0.8674428403377533,0.6828627586364746,09c820c16776fd9cd2590e5f12a08dad5477d6eea9e7207da4f44a8f940a6bc0,afc383bf5d6af013f96e94aa1bcc6f4b15a87fa3c50602c1150d3fbaf2ded754,healthy
dtd,U1_t0.15_p1,35.9375,35.9375,0.0,40.625,40.625,0.0,0,0,0.49711108207702637,0.4616914391517639,0.2382907062768936,0.30444612354040146,0.6500645577907562,0.8376453638076784,0.49711912870407104,39fe6b9cc82568f1744e79d7f73d7e3597ae8c16822f8bd7cb7043cfa84f4b82,ad165506971309950523177c4dfe088f1030fd69633ddb03760cafa9a13664a6,healthy
dtd,U1_t0.15_p2,35.9375,35.9375,0.0,40.625,40.625,0.0,0,0,0.2643994987010956,0.1617393046617508,0.031678151711821555,0.07426275685429573,0.2986602857708931,0.8168437957763675,0.26440244913101196,39fe6b9cc82568f1744e79d7f73d7e3597ae8c16822f8bd7cb7043cfa84f4b82,29bc84e28aeb5aec52895b4ffc6441f21d990ca4d331df9216bb981a874e0077,healthy
dtd,U1_t0.3_p0.25,35.9375,35.9375,0.0,40.625,40.625,0.0,0,0,0.8850998282432556,0.8836491107940674,0.8124287724494934,0.8428293764591217,0.9124389290809631,0.9708735287189484,0.8851112723350525,995d3779aae38d6c1955f6b7eb85b3b761a3bb276b4579b19c38a50663ae4024,a99d564ca596043ff85ed392ad57a2a14557de1c6a4a0f1e6e0eee254926b21a,healthy
dtd,U1_t0.3_p0.5,35.9375,35.9375,0.0,40.625,40.625,0.0,0,0,0.7884228825569153,0.785453200340271,0.6572188198566437,0.7098288834095001,0.8391665071249008,0.9251765012741089,0.7884337902069092,995d3779aae38d6c1955f6b7eb85b3b761a3bb276b4579b19c38a50663ae4024,d9370862af9d5833cf63c188f0d7f036153acaba0e584fbefeaccf909e6fddd8,healthy
