dataset,display_name,base,posterior,delta_p,responsibility,delta_r,full,delta_full
fgvc,Aircraft,908/3333 (27.2427%),908/3333 (27.2427%),0,906/3333 (27.1827%),-2,906/3333 (27.1827%),-2
caltech101,Caltech101,2326/2465 (94.3611%),2326/2465 (94.3611%),0,2327/2465 (94.4016%),1,2327/2465 (94.4016%),1
stanford_cars,Cars,5605/8041 (69.7053%),5607/8041 (69.7301%),2,5601/8041 (69.6555%),-4,5602/8041 (69.6680%),-3
dtd,DTD,863/1692 (51.0047%),867/1692 (51.2411%),4,863/1692 (51.0047%),0,864/1692 (51.0638%),1
eurosat,EuroSAT,5490/8100 (67.7778%),5500/8100 (67.9012%),10,6230/8100 (76.9136%),740,6230/8100 (76.9136%),740
oxford_flowers,Flower102,1895/2463 (76.9387%),1895/2463 (76.9387%),0,1895/2463 (76.9387%),0,1895/2463 (76.9387%),0
food101,Food101,26373/30300 (87.0396%),26373/30300 (87.0396%),0,26381/30300 (87.0660%),8,26381/30300 (87.0660%),8
oxford_pets,Pets,3409/3669 (92.9136%),3410/3669 (92.9409%),1,3411/3669 (92.9681%),2,3411/3669 (92.9681%),2
sun397,SUN397,13681/19850 (68.9219%),13683/19850 (68.9320%),2,13712/19850 (69.0781%),31,13712/19850 (69.0781%),31
ucf101,UCF101,2801/3783 (74.0418%),2803/3783 (74.0946%),2,2807/3783 (74.2004%),6,2807/3783 (74.2004%),6
