dataset,p_tau,p_strength,u_tau,u_power,u_rule,full_tau,full_strength,full_power,full_rule
fgvc,0.15,0.0,0.15,0.25,mix08clip,0.15,0.0,0.25,mix08clip
caltech101,0.15,0.0,0.3,2.0,mix05,0.3,0.0,2.0,mix05
stanford_cars,0.075,0.15,0.3,0.25,clip,0.3,0.0,0.1875,clip
dtd,0.075,0.075,0.75,0.1875,mix08clip,0.75,0.056249999999999994,0.140625,mix08clip
eurosat,0.075,0.01875,0.1875,2.5,mix05,0.1875,0.0234375,2.5,mix05
oxford_flowers,0.15,0.0,0.225,0.75,mix08clip,0.225,0.0,0.75,mix08clip
food101,0.15,0.0,0.1875,2.5,mix08clip,0.1875,0.0,2.5,mix08clip
oxford_pets,0.075,0.02625,0.225,0.1875,mix08clip,0.225,0.0,0.1875,mix08clip
sun397,0.075,0.06375,0.225,3.0,mix08clip,0.225,0.0,3.0,mix08clip
ucf101,0.075,0.19124999999999998,0.6,0.25,mix08clip,0.6,0.0,0.25,mix08clip
