dataset,candidate,tau_rank,update_power,update_rule,base_all_correct,candidate_all_correct,delta_correct_all,delta_all_pp,base_last50_accuracy,candidate_last50_accuracy,delta_last50_pp,mean_gate,gate_p10,median_gate,gate_p90
fgvc,U1_t0.15_p0.25,0.15,0.25,mix08clip,908,906,-2,-0.06000600060005823,28.974205158968207,28.974205158968207,0.0,0.9635646939277649,0.917984664440155,0.976460337638855,0.9999970912933349
caltech101,U2_t0.3_p2_mix05,0.3,2.0,mix05,2326,2327,1,0.04056795131845092,95.1338199513382,95.05271695052717,-0.0811030008110265,0.9060019254684448,0.6460390806198121,0.9999992847442627,1.0
stanford_cars,U1_t0.3_p0.25,0.3,0.25,clip,5605,5601,-4,-0.04974505658501016,71.37527978114896,71.37527978114896,0.0,0.9954934120178223,0.9911461472511292,0.9999914765357971,1.0
dtd,U_t0.75_p0.1875_mix08clip,0.75,0.1875,mix08clip,863,863,0,0.0,54.255319148936174,54.37352245862884,0.11820330969266735,0.9898592233657837,0.9690868020057678,0.9966187477111816,1.0
eurosat,U_t0.1875_p2.5_mix05,0.1875,2.5,mix05,5490,6230,740,9.135802469135811,68.54320987654322,78.09876543209876,9.555555555555543,0.573314368724823,0.004244577232748271,0.805465042591095,0.9999998807907104
oxford_flowers,U_t0.225_p0.75_mix08clip,0.225,0.75,mix08clip,1895,1895,0,0.0,80.68181818181819,80.51948051948052,-0.1623376623376629,0.961946964263916,0.8814904928207398,0.9999999403953552,1.0
food101,U_t0.1875_p2.5_mix08clip,0.1875,2.5,mix08clip,26373,26381,8,0.026402640264024058,87.20792079207921,87.2871287128713,0.07920792079208638,0.965124785900116,0.8751732707023621,1.0,1.0
oxford_pets,U_t0.225_p0.1875_mix08clip,0.225,0.1875,mix08clip,3409,3411,2,0.054510765876258915,93.95095367847412,94.00544959128065,0.0544959128065301,0.9940704703330994,0.9771177172660828,1.0,1.0
sun397,U_t0.225_p3_mix08clip,0.225,3.0,mix08clip,13681,13712,31,0.15617128463475183,70.0352644836272,70.21662468513854,0.18136020151133891,0.9618910551071167,0.9175393223762512,1.0,1.0
ucf101,U1_t0.6_p0.25,0.6,0.25,mix08clip,2801,2807,6,0.15860428231562196,76.74418604651163,76.90274841437632,0.1585623678646897,0.9949304461479187,0.9875937223434448,1.0,1.0
