candidate,source,dataset,correct,N,accuracy
DO,DO,fgvc,870,3333,26.102610261026104
DO,DO,caltech101,2316,2465,93.95537525354969
DO,DO,stanford_cars,5374,8041,66.83248352195001
DO,DO,dtd,847,1692,50.05910165484634
DO,DO,eurosat,5801,8100,71.61728395061728
DO,DO,oxford_flowers,1787,2463,72.55379618351604
DO,DO,food101,26336,30300,86.91749174917491
DO,DO,oxford_pets,3346,3669,91.19651131098392
DO,DO,sun397,13342,19850,67.21410579345088
DO,DO,ucf101,2768,3783,73.16944224160719
O,O,fgvc,904,3333,27.122712271227122
O,O,caltech101,2322,2465,94.19878296146045
O,O,stanford_cars,5601,8041,69.65551548314886
O,O,dtd,862,1692,50.945626477541374
O,O,eurosat,5605,8100,69.19753086419753
O,O,oxford_flowers,1896,2463,76.97929354445797
O,O,food101,26369,30300,87.02640264026402
O,O,oxford_pets,3406,3669,92.83183428727173
O,O,sun397,13682,19850,68.92695214105794
O,O,ucf101,2807,3783,74.20037007665874
EO,EO,fgvc,907,3333,27.21272127212721
EO,EO,caltech101,2323,2465,94.2393509127789
EO,EO,stanford_cars,5597,8041,69.60577042656386
EO,EO,dtd,864,1692,51.06382978723404
EO,EO,eurosat,5556,8100,68.5925925925926
EO,EO,oxford_flowers,1896,2463,76.97929354445797
EO,EO,food101,26367,30300,87.01980198019803
EO,EO,oxford_pets,3406,3669,92.83183428727173
EO,EO,sun397,13685,19850,68.94206549118388
EO,EO,ucf101,2809,3783,74.25323817076395
