dataset,N,original_dota,tuned_base_dota,enhanced_core,plus_residual,plus_prediction_rank,full_v3
dtd,1692,48.10874704491726,49.70449172576832,51.004728132387704,51.06382978723404,51.06382978723404,51.06382978723404
eurosat,8100,62.925925925925924,62.901234567901234,67.85185185185185,68.34567901234568,65.0,73.60493827160494
caltech101,2465,94.19878296146045,93.71196754563894,94.32048681541582,94.32048681541582,94.32048681541582,94.32048681541582
fgvc,3333,26.192619261926193,26.882688268826882,27.152715271527153,27.182718271827184,27.182718271827184,27.182718271827184
oxford_flowers,2463,75.07105156313439,76.53268371904181,76.93869265123833,76.93869265123833,76.93869265123833,76.93869265123833
oxford_pets,3669,91.9051512673753,92.64104660670482,92.91360043608613,92.91360043608613,92.91360043608613,92.91360043608613
ucf101,3783,72.37642083002908,73.03727200634417,74.04176579434312,74.04176579434312,74.01533174729052,74.20037007665874
stanford_cars,8041,69.74256933217262,69.90424076607387,69.70526053973387,69.70526053973387,69.70526053973387,69.70526053973387
food101,30300,86.94389438943894,87.00660066006601,87.03960396039604,87.03960396039604,87.01980198019803,87.05610561056106
sun397,19850,68.84130982367758,68.86649874055415,68.92191435768262,68.92695214105794,68.93702770780857,68.9823677581864
