dataset,N,none,residual_shapley,semantic_shapley,order_shapley,all,delta_all_none
dtd,1692,863,1.0,0.0,0.0,864,1.0
eurosat,8100,5941,21.0,0.0,2.0,5964,23.0
caltech101,2465,2325,0.0,0.0,0.0,2325,0.0
fgvc,3333,905,1.0,0.0,0.0,906,1.0
oxford_flowers,2463,1895,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1894,-1.0
oxford_pets,3669,3409,0.0,0.0,0.0,3409,0.0
ucf101,3783,2804,2.833333333333333,-0.16666666666666666,0.3333333333333333,2807,3.0
stanford_cars,8041,5605,0.0,0.0,0.0,5605,0.0
food101,30300,26378,0.0,0.0,0.0,26378,0.0
sun397,19850,13694,-1.0,0.0,0.0,13693,-1.0
